c_Colonia,c_CodigoPostal,Nombre del asentamiento
1,97782,San Isidro
1,97929,Tinuncah
1,97960,México Primero
1,97970,Los Cedros
1,98000,Zacatecas Centro
1,98307,Las Huertas
1,98336,Miguel Alemán
1,98425,Del Norte
1,98451,San José
1,98507,Hermanas Hernández
1,98560,Agua Azul
1,98667,Santa Gertrudis
1,98832,Los Ángeles
1,98890,Granjas de Guadalupe
1,98900,El Arenal
1,98925,Las Mezclitas (La Mezclita)
1,99039,Universidad
1,99113,Charco Blanco
1,99258,El Pedregal
1,99363,Guadalajara
1,99436,Berrendos
1,99523,El Saucito
1,99605,Del Sol
1,99630,Arboledas
1,99703,Santo Niño (La Sauceda)
