c_CodigoPostal,c_Estado,c_Municipio,c_Localidad,Estímulo Franja Fronteriza,Fecha inicio de vigencia ,Fecha fin de vigencia ,Descripción del Huso Horario,Mes_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Diferencia_Horaria_Verano,Mes_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Diferencia_Horaria_Invierno
20238,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20239,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20240,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20241,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20242,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20243,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20244,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20245,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20246,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20247,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20248,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20249,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20250,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20251,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20252,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20253,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20254,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20255,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20256,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20257,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20258,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20259,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20260,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20261,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20262,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20263,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20264,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20265,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20266,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20267,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20268,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20269,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20270,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20271,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20272,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20273,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20274,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20275,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20276,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20277,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20278,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20279,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20280,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20281,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20282,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20283,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20284,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20285,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20286,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20287,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20288,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20289,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20290,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20291,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20292,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20293,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20294,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20295,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20296,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20297,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20298,AGU,001,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20299,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20300,AGU,011,03,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20301,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20302,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20303,AGU,011,03,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20304,AGU,011,03,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20305,AGU,011,03,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20306,AGU,011,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20307,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20308,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
